date,0,2,5,6,7,8,9,11,16,17,18
1,390,253,325,182,110,129,95,145,219,146,190
2,437,245,306,237,134,148,112,112,221,144,171
3,447,228,334,225,112,152,122,136,270,163,172
4,506,216,352,290,179,168,114,131,355,146,219
5,478,182,334,249,178,183,104,117,325,152,188
6,496,149,295,194,161,176,121,167,256,169,171
7,565,188,392,202,213,147,128,213,294,150,132
8,566,250,389,239,176,184,155,200,278,159,148
9,494,327,342,234,161,181,120,196,253,160,126
10,492,375,380,301,186,194,127,153,234,170,151
11,455,257,294,220,117,142,96,141,218,167,153
12,442,200,245,154,81,125,101,123,196,120,148
